(Service#conflict)(prices#negative)(reputation#positive),(service#conflict),"Service was decent, but not as smooth as I would expect from a place with these prices and reputation."
(meal#positive),(food#positive),We had a wonderful meal at Naples 45 a month ago on a visit to NYC.
(drink#positive),(food#positive),Good drink.
(food#positive)(spinach and corn dumplings#positive)(service#positive)(bathroom#positive)(massamman curry#positive),(food#positive)(service#positive)(ambience#positive),"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom."
,(anecdotes/miscellaneous#neutral),Was there Friday night.
(dinner#neutral),(anecdotes/miscellaneous#neutral),We had a girls' night dinner here for restaurant week.
,(ambience#positive),Romantic if you want it to be (brightly lit).
(ceiling#negative)(dinner#neutral),(anecdotes/miscellaneous#negative),"However, I was there for a work dinner not long ago when my colleague from London noticed a very large waterbug on the ceiling."
,(anecdotes/miscellaneous#positive),I recommend it!
,(anecdotes/miscellaneous#positive),I have taken practically every guest that has come to visit me in NY and hooked a few New Yorkers onto Peep as well.
,(anecdotes/miscellaneous#neutral),enough said!
,(anecdotes/miscellaneous#neutral),I don't live in NY but my best friend does.
(chow fun and chow see#negative),(food#negative),My chow fun and chow see was really bland and oily.
(table#positive)(reservation#positive)(seated#positive),(anecdotes/miscellaneous#positive)(ambience#positive),"Even though I made the reservation at 3pm for the same night through Dinnerbroker, we were seated at a table with one of the best view!"
(pita#negative)(naan#negative),(service#negative),"we did notice however, that some tables had what looked like pita instead of naan."
(menu#neutral)(oysters#positive),(food#positive),"I didn't take a look at the rest menu, but the oysters were fantastic."
,(anecdotes/miscellaneous#neutral),After the review I treked into Brooklyn.
(grilled cheese#positive),(food#negative),The grilled cheese at home afterwards was better.!!
,(service#positive),We were pleasantly greeted.
(doors#conflict),(ambience#negative),The red sliding doors may be unique but they do not block off the cold air from the outside.
(service#positive)(food#positive),(food#positive)(service#positive),"Great service, great food."
(food#conflict),(price#negative)(food#positive),"The food is expensive, but worth every bite."
(food#negative)(service#negative)(service#negative)(good#positive),(food#conflict)(service#negative),"sometimes i get bad food and bad service, sometimes i get good good and bad service."
(waitress#negative)(check#neutral),(service#negative)(anecdotes/miscellaneous#negative),When we were finally seated our waitress came by twice-1 for our order and 2-for our check.
(terrace#positive),(ambience#positive),In summer-eat outside on a terrace (another great feature of Suan)!!!
(design#positive)(drinks#positive)(food#positive)(bar#neutral),(food#positive)(ambience#positive),"It's the perfect restaurant for NY life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink bar..."
,(anecdotes/miscellaneous#neutral),"Recommendations, of course, are required!"
(bar#neutral),(service#negative),We did have to wait at the bar for approx.
,(anecdotes/miscellaneous#neutral),You fellas above says its the best Taiwanese restaurant in town.
,(anecdotes/miscellaneous#positive),"Yeah, it's that good."
(seafood#positive)(place#positive),(food#positive),"If you love seafood, you would love this place!"
(service#positive),(service#positive),"Good, fast service."
,(food#positive)(price#positive),Dakshin is one of the few affordable and tasty Indian restaurant in the upper east side.
(prices#negative),(price#negative),They charge different prices all the time.
,(ambience#conflict),"To dine at Thalia can be slightly deceiving because while its beautiful on the outside, its so bland on the inside."
(service#negative),(anecdotes/miscellaneous#positive)(service#negative)(price#negative),"I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced."
(cheese#positive)(menu#positive),(food#positive)(anecdotes/miscellaneous#positive),"My friends and I experienced amazing cheese and a delicious, new summer menu at Artisanal last night."
,(anecdotes/miscellaneous#positive),"I am so coming back here again, as much as I can."
,(anecdotes/miscellaneous#positive),I have been going back again and again.
(atmoshere#positive),(ambience#positive),"It's charmingly small and that leads to an atmoshere that is extremely cozy and romantic, even."
(Japanese cuisine#negative),(food#negative),It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.
(food#neutral)(appetizers#neutral),(food#neutral),"In terms of the food itself -- nothing special, we limited ourselves to several appetizers."
(Jazz bands#positive),(ambience#positive),Love the Jazz bands on Fri and Sat.
,(anecdotes/miscellaneous#positive),"Overall, excellent restaurant!"
(hostess#positive)(wait#negative)(table#positive),(service#conflict),"To begin, we were told there was a 30 minute wait and started to leave, when the hostess offered to call us on our cell phone when the table was ready."
(servers#positive),(service#positive),The servers give you some sample slices of your order while you wait (shortly I might add).
(service#neutral),(service#neutral),The service was ok.
(dish#neutral),(service#negative)(anecdotes/miscellaneous#negative),"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude."
,(anecdotes/miscellaneous#positive),I ate here for the first time and absolutely loved it!
(tables#negative),(ambience#negative),"Don't expect to sit down inside though, there are only a few tables and they are always full."
(staff#positive)(ambiance#positive)(food#positive),(food#positive)(service#positive)(ambience#positive),"The staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!"
(food#positive)(halibut special#positive)(steak#positive)(service#positive),(food#positive)(service#positive),"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch."
(manager#negative)(bill#neutral),(service#negative),The manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group.
,(anecdotes/miscellaneous#positive),This is by far my favorite place in the neighborhood.
,(anecdotes/miscellaneous#negative),But too far east!
,(anecdotes/miscellaneous#positive),Satisfying.
,(anecdotes/miscellaneous#positive),Highly Highly Highly recommended!
(japanese comfort food#positive),(food#positive),it's the only place you can get yummy authentic japanese comfort food.
(half price sushi deal#positive),(price#positive),We took advanatage of the half price sushi deal on saturday so it was well worth it.
(reservation#neutral)(seated#positive),(service#positive),we came here on a crowded saturday night and were seated right away despite being 15 minutes late for our reservation.
,(ambience#positive),"This place is cool enough to be in the East Village, but French enough to make you feel like you could be in a bistro in a back alley in Paris."
(appetizer platter#neutral),(anecdotes/miscellaneous#neutral),We were fast to order the appetizer platter since we were very hungry.
(staff#positive),(service#positive),"The staff are attentive, and have smiles on their faces."
